K:20	len:400	runtime:5.402574777603149	error:0.6475770925110133	recon_len:227
K:25	len:400	runtime:4.197880029678345	error:0.43190661478599224	recon_len:257
K:30	len:400	runtime:3.910645008087158	error:0.47692307692307695	recon_len:260
K:35	len:400	runtime:4.165225982666016	error:0.5728476821192053	recon_len:302
K:40	len:800	runtime:4.67569375038147	error:0.6693163751987281	recon_len:629
K:45	len:800	runtime:4.860418081283569	error:0.6967213114754098	recon_len:732
K:50	len:800	runtime:4.688929796218872	error:0.586013986013986	recon_len:715
K:55	len:800	runtime:4.8240251541137695	error:0.6704834605597965	recon_len:786
K:60	len:800	runtime:5.050709009170532	error:0.7136986301369863	recon_len:730
K:65	len:800	runtime:4.956514120101929	error:0.6926174496644295	recon_len:745
K:70	len:800	runtime:4.877579927444458	error:0.705	recon_len:864
K:75	len:800	runtime:4.63276219367981	error:0.6812169312169312	recon_len:756
K:80	len:1600	runtime:5.725095987319946	error:0.77625	recon_len:1603
K:85	len:1600	runtime:5.534210920333862	error:0.699375	recon_len:1603
K:90	len:1600	runtime:5.614814281463623	error:0.66125	recon_len:1618
K:95	len:1600	runtime:5.610196113586426	error:0.7123202001250781	recon_len:1599
K:100	len:1600	runtime:5.6309590339660645	error:0.6797129810828441	recon_len:1533
K:105	len:1600	runtime:5.378161907196045	error:0.6598596043395022	recon_len:1567
K:110	len:1600	runtime:5.729548215866089	error:0.7225	recon_len:1659
K:115	len:1600	runtime:5.8496410846710205	error:0.73125	recon_len:1801
K:120	len:1600	runtime:5.513681888580322	error:0.75375	recon_len:1733
K:125	len:1600	runtime:5.644851922988892	error:0.2766624843161857	recon_len:1594
K:130	len:1600	runtime:5.573038101196289	error:0.733125	recon_len:1677
K:135	len:1600	runtime:5.394003868103027	error:0.6960408684546615	recon_len:1566
K:140	len:1600	runtime:5.7464189529418945	error:0.68125	recon_len:1650
K:145	len:1600	runtime:5.540666818618774	error:0.7555697008274984	recon_len:1571
K:150	len:1600	runtime:5.492714881896973	error:0.325	recon_len:1617
K:155	len:1600	runtime:5.340887069702148	error:0.685625	recon_len:1786
K:160	len:3200	runtime:7.995677947998047	error:0.5675	recon_len:3302
K:165	len:3200	runtime:8.063457012176514	error:0.7296875	recon_len:3298
K:170	len:3200	runtime:7.765743970870972	error:0.7754846779237023	recon_len:3198
K:175	len:3200	runtime:8.141953945159912	error:0.7132977051241748	recon_len:3181
